#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
590001,42995,22.4952,-0.332,-1.242,2.52,0.014,-0.007,1.028,-23.7,-4.5,10.8,
600004,43005,22.4952,-0.175,-1.067,-0.035,0.012,-0.003,1.03,-23.7,-3.7,11.1,
610001,43015,22.4952,-0.157,-1.015,-0.84,0.013,0,1.028,-23.1,-4.6,9.7,
620002,43025,22.4952,-0.245,-0.997,-0.84,0.014,0,1.027,-24,-3,10.5,
630001,43035,22.4952,-0.245,-1.067,-0.91,0.011,0,1.028,-24.1,-4.8,10.5,
640004,43045,22.4952,-0.175,-1.067,-0.962,0.01,-0.001,1.027,-24.3,-4.5,10.2,
650001,43055,22.4568,-0.017,-0.962,-0.962,0.008,-0.002,1.028,-24,-4,10.5,
660003,43065,22.4568,0,-1.015,-1.015,0.007,-0.003,1.029,-23.4,-4.6,11.1,
670001,43075,22.4568,-0.157,-1.137,-0.962,0.005,-0.005,1.027,-23.7,-5.1,11.2,
680004,43085,22.4568,-0.157,-1.12,-0.91,0.003,-0.005,1.027,-23.7,-3.6,10.9,
690001,43095,22.4568,-0.157,-1.12,-0.91,0.003,-0.005,1.027,-24.6,-4.5,11.5,
700002,43105,22.4568,-0.192,-1.137,-0.91,0.005,-0.004,1.027,-24.6,-4.8,10.6,
710001,43115,22.4568,-0.21,-1.225,-0.875,0.006,-0.004,1.028,-25,-4.2,10.6,
720004,43125,22.4568,-0.315,-1.312,-0.84,0.007,-0.002,1.028,-24.3,-3.7,10.9,
730001,43135,22.4952,-0.332,-1.312,-0.822,0.008,-0.001,1.028,-23.4,-5.1,11.1,
740003,43145,22.4952,-0.245,-1.26,-0.857,0.01,-0.001,1.029,-24.6,-5.4,10.5,
750003,43155,22.4952,-0.227,-1.19,-0.84,0.01,-0.001,1.029,-24,-4.8,11.2,
760004,43165,22.4952,-0.105,-1.137,-0.875,0.01,-0.001,1.028,-23.7,-4.6,10.8,
770001,43175,22.4952,-0.052,-1.032,-0.84,0.012,0,1.029,-24.4,-5.1,11.1,
780002,43185,22.4952,-0.07,-1.05,-0.857,0.01,0,1.026,-25.3,-4.3,10.8,
790001,43195,22.4952,-0.14,-1.12,-0.857,0.011,0,1.028,-25.8,-4.8,10.5,
800004,43205,22.4952,-0.14,-1.102,-0.875,0.01,-0.001,1.028,-24.3,-3.9,10.3,
810001,43215,22.4952,-0.175,-1.085,-0.892,0.01,-0.001,1.028,-23.5,-4.3,10.9,
