time[ms],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[RH],accCalX[mg],accCalY[mg],accCalZ[mg],accBiasX[mg],accBiasY[mg],accBiasZ[mg],accGood,accGainX,accGainY,accGainZ,ElapsedTime[us],
45285580,-7,-30,1042,630,-3570,1540,-82,-1278,-609,998.69,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285600,-8,-29,1043,630,-3570,1610,-88,-1275,-597,998.63,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285620,-7,-29,1042,560,-3500,1540,-78,-1273,-598,998.63,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285640,-8,-31,1044,630,-3710,1400,-67,-1281,-597,998.73,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285660,-7,-30,1041,630,-3500,1610,-79,-1281,-601,998.73,20.8,72.4,,,,,,,,        ,        ,        ,672,
45285670,-9,-28,1043,700,-3920,1680,-82,-1279,-597,998.70,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285690,-11,-29,1046,840,-4830,2100,-70,-1281,-603,998.70,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285710,-6,-28,1041,840,-4620,2450,-75,-1288,-606,998.68,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285730,-3,-32,1041,630,-3640,1960,-78,-1282,-604,998.68,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285750,-5,-30,1041,630,-3500,1890,-82,-1287,-603,998.72,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285770,-3,-30,1038,490,-3010,1680,-70,-1272,-598,998.72,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285790,-8,-29,1044,420,-2730,1610,-76,-1273,-609,998.73,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285810,-8,-28,1044,560,-3290,1820,-72,-1282,-592,998.73,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285830,-4,-27,1040,560,-2870,2100,-70,-1275,-598,998.75,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285850,-9,-27,1045,560,-3010,2520,-79,-1279,-595,998.75,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285870,-10,-17,1042,630,-3500,4060,-67,-1276,-604,998.68,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285880,-21,8,1037,490,-3080,9170,-70,-1278,-591,998.68,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285900,26,-46,1047,840,-3780,13020,-57,-1282,-598,998.71,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285920,-18,-32,1047,840,-4130,9310,-63,-1282,-598,998.71,20.8,72.4,,,,,,,,        ,        ,        ,1,
45285940,-5,-33,1039,910,-4060,8890,-54,-1279,-598,998.78,20.7,72.4,,,,,,,,        ,        ,        ,1,
45285960,-10,-10,1038,700,-3430,12040,-54,-1285,-595,998.78,20.7,72.4,,,,,,,,        ,        ,        ,1,
45285980,-7,-5,1053,1260,-5390,17990,-48,-1284,-601,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286000,7,-17,1037,1050,-4130,22330,-40,-1294,-597,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286010,-47,-31,1046,980,-4200,22470,-30,-1287,-595,998.69,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286030,-13,-82,1027,350,-2730,10990,-30,-1287,-597,998.69,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286050,14,-38,1038,350,-1260,7770,-15,-1299,-601,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286070,-7,-40,1050,490,-2520,6370,-25,-1287,-600,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286090,-7,-24,1051,1190,-4970,7840,-16,-1294,-601,998.66,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286110,-55,10,1042,630,-3710,20580,-18,-1290,-597,998.66,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286130,-21,-20,1017,490,-2310,22260,-6,-1299,-592,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286150,-31,7,1037,350,-2240,28980,12,-1300,-594,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286170,-7,-69,1078,1120,-4760,36890,25,-1305,-595,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286190,32,-66,1036,980,-3640,27160,36,-1312,-591,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286210,14,-23,1013,980,-3640,21980,39,-1312,-600,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286220,-49,3,1050,1120,-4550,29820,58,-1314,-580,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286240,-33,-10,1069,1330,-4060,35210,67,-1317,-583,998.62,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286260,-21,-8,1015,1050,-3850,39340,93,-1317,-597,998.62,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286280,-1,-49,1080,1050,-3710,37380,120,-1321,-579,998.69,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286300,28,-45,1023,1120,-4130,36400,120,-1320,-582,998.69,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286320,-1,-23,1045,630,-3710,35490,132,-1323,-588,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286330,-17,36,995,1190,-3710,42350,162,-1326,-583,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286350,-23,-25,1105,1260,-3640,46900,181,-1332,-577,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286370,-11,-48,1024,1260,-3500,44730,207,-1335,-583,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286390,-5,-24,1019,1330,-3360,46550,231,-1333,-574,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286410,0,-52,1087,1120,-3570,45640,252,-1338,-583,998.64,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286430,7,-69,1052,1330,-4550,41160,271,-1335,-579,998.71,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286450,-18,-14,1047,1330,-4410,42630,292,-1338,-583,998.74,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286470,-2,20,1064,980,-4620,54250,310,-1335,-570,998.74,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286490,2,-17,1006,1680,-4410,57260,331,-1339,-577,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286510,-6,-49,1048,1330,-3920,55020,370,-1332,-574,998.67,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286530,10,-29,1062,1820,-4200,57190,385,-1339,-574,998.63,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286540,-8,33,1006,1540,-2870,73220,429,-1335,-568,998.63,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286560,-52,5,1030,980,-3290,85120,469,-1329,-574,998.62,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286580,-10,-50,1026,1890,-4340,82670,511,-1314,-558,998.62,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286600,14,-77,1046,1540,-3920,71750,543,-1311,-562,998.68,20.7,72.5,,,,,,,,        ,        ,        ,663,
45286620,-29,-17,1037,1330,-4200,54040,567,-1303,-555,998.68,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286640,-44,0,1062,1050,-3500,55160,594,-1300,-555,998.65,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286660,4,-43,999,1680,-4900,61460,627,-1294,-552,998.65,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286670,12,-67,1099,1400,-3920,59430,652,-1294,-552,998.71,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286690,13,-4,1044,1540,-3850,59220,682,-1282,-553,998.71,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286710,-10,-23,1002,980,-3780,63280,717,-1276,-552,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286730,-27,-57,1041,840,-3920,54390,730,-1258,-546,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286750,11,-74,1040,1120,-2800,45850,753,-1260,-547,998.73,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286770,-27,11,1031,1330,-4200,48090,778,-1243,-549,998.73,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286790,-19,-17,1097,1120,-4060,54320,798,-1233,-541,998.79,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286810,-13,-6,1002,980,-3010,61250,837,-1219,-540,998.79,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286830,3,-65,1109,1120,-3920,58590,858,-1203,-537,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286850,-4,-25,973,1190,-3360,58520,871,-1198,-543,998.70,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286860,-9,-10,1051,1260,-3430,59150,912,-1179,-537,998.74,20.7,72.5,,,,,,,,        ,        ,        ,1,
45286880,0,-37,1053,1260,-3570,57190,940,-1167,-531,998.74,20.8,72.5,,,,,,,,        ,        ,        ,1,
45286900,-8,-64,1064,1190,-3710,47810,957,-1161,-541,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45286920,-51,-28,1016,1190,-4620,51310,985,-1138,-531,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45286940,-21,-42,1097,1190,-3850,57680,1003,-1131,-517,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45286960,23,-52,965,1190,-3360,53060,1023,-1117,-528,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45286980,-39,-35,1063,1260,-4480,48090,1041,-1096,-525,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287000,-38,-40,1041,1260,-4270,47460,1065,-1081,-529,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287010,27,-59,1025,910,-3500,40600,1077,-1068,-517,998.71,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287030,24,-2,1088,1190,-3850,39270,1104,-1050,-522,998.71,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287050,3,-6,1020,910,-3640,40670,1117,-1044,-520,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287070,-15,-55,1058,1190,-4480,34090,1137,-1033,-523,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287090,-43,7,1059,1120,-3640,42350,1144,-1027,-526,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287110,-35,-23,1012,1750,-3920,63630,1170,-997,-516,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287130,-35,22,1062,1890,-3990,75670,1197,-973,-517,998.60,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287150,0,-47,1035,1680,-4130,73430,1218,-939,-517,998.60,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287170,35,-86,1064,1260,-3850,52780,1234,-924,-505,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287180,40,-32,1048,1120,-3360,36260,1257,-912,-516,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287200,11,-26,1011,840,-3150,31290,1264,-898,-508,998.72,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287220,-9,-16,1054,840,-3430,34090,1269,-885,-514,998.72,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287240,-21,24,1040,1190,-3850,41090,1279,-865,-498,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287260,-43,-10,1082,1050,-2240,57330,1305,-847,-507,998.66,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287280,6,-121,1007,1050,-4410,41160,1330,-825,-508,998.65,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287300,2,-61,1020,1120,-3780,32410,1332,-813,-499,998.65,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287320,-11,-61,1040,420,-2590,25970,1341,-805,-508,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287330,-21,-37,1054,840,-3360,26320,1341,-793,-495,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287350,-55,-13,1069,1120,-3430,38500,1359,-784,-504,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287370,-56,27,997,700,-3220,56070,1375,-757,-511,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287390,-6,-10,1069,1890,-4200,57750,1381,-726,-507,998.73,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287410,56,-91,1036,980,-2450,42980,1390,-712,-487,998.73,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287430,13,-91,1034,630,-2730,29750,1404,-699,-501,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287450,8,-46,1028,700,-3850,23520,1402,-685,-501,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287470,-15,-3,1058,840,-4200,21910,1410,-667,-495,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287490,1,7,1037,840,-3850,30030,1422,-667,-498,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287510,-7,-57,1040,910,-3920,25690,1432,-660,-496,998.71,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287520,-10,-41,1067,560,-2870,23660,1428,-645,-499,998.71,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287540,10,-4,1023,700,-2450,22750,1443,-630,-496,998.69,20.8,72.6,,,,,,,,        ,        ,        ,663,
45287560,-25,-21,1047,1050,-4270,25270,1447,-619,-489,998.69,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287580,-96,-20,1054,840,-2870,34230,1453,-612,-495,998.64,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287600,-47,-5,1003,1120,-3220,46340,1467,-580,-489,998.64,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287620,0,1,1044,1400,-4200,55860,1470,-555,-490,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287640,47,-54,1092,840,-1540,53060,1482,-525,-480,998.67,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287660,52,-67,1009,1610,-4760,41790,1488,-505,-493,998.68,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287670,5,-64,1041,840,-4270,30660,1492,-498,-489,998.68,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287690,-78,-11,1046,910,-2800,28700,1497,-478,-480,998.65,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287710,-110,43,994,420,-1400,59990,1492,-459,-477,998.65,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287730,-3,-25,1128,1540,-5600,65730,1513,-415,-484,998.63,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287750,78,-85,974,-70,2310,49490,1521,-390,-475,998.63,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287770,32,-61,1090,1820,-7210,37380,1530,-367,-486,998.63,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287790,1,-45,1024,560,-3780,28700,1518,-355,-475,998.63,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287810,-8,-55,1049,1190,-4620,22610,1521,-345,-481,998.68,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287830,-32,-19,1064,1680,-9100,30520,1527,-333,-481,998.68,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287840,-66,57,1010,980,-1540,49420,1528,-304,-477,998.71,20.8,72.6,,,,,,,,        ,        ,        ,1,
45287860,-37,-31,1032,-140,2100,56140,1534,-279,-489,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287880,0,-68,1059,-140,1540,48440,1537,-253,-472,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287900,-21,-55,1033,140,140,38990,1527,-235,-468,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287920,-16,-75,1067,1190,-6440,29120,1542,-220,-477,998.77,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287940,5,-77,1054,1400,-7000,20160,1533,-210,-472,998.77,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287960,-4,46,1035,1190,-5390,35840,1525,-196,-471,998.78,20.8,72.5,,,,,,,,        ,        ,        ,1,
45287980,-32,-3,1011,-210,1820,49770,1542,-175,-468,998.78,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288000,-46,-56,1083,-350,3570,45990,1531,-147,-465,998.75,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288010,-7,-53,1038,770,-3850,40950,1539,-118,-471,998.75,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288030,10,-86,1045,840,-2870,31990,1530,-114,-472,998.72,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288050,23,-81,1067,1470,-8680,20440,1536,-99,-469,998.72,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288070,-9,-49,1025,770,-4620,12250,1539,-90,-466,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288090,-4,-18,1032,700,-3640,13300,1536,-84,-468,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288110,-62,54,1041,910,-3010,26740,1540,-78,-475,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288130,-65,-13,1040,420,0,40040,1531,-48,-460,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288150,-4,-66,1039,-210,1750,37590,1537,-36,-448,998.64,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288160,42,-83,1056,840,-3500,21560,1530,-18,-457,998.64,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288180,-2,-89,1045,700,-4060,8120,1530,-16,-457,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288200,-35,-57,1051,840,-7350,1610,1537,-18,-466,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288220,-6,-22,1033,770,-4410,5530,1540,-12,-472,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288240,-29,-15,1044,630,-3640,13300,1536,-15,-463,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288260,-43,-26,1043,700,-3710,13370,1528,-4,-466,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288280,4,-51,1038,490,-3290,7210,1527,-1,-466,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288300,1,-47,1044,560,-3360,2730,1528,-3,-463,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288320,-15,-35,1046,700,-4130,2170,1539,0,-460,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288330,-14,-36,1043,630,-3920,2940,1525,-4,-462,998.72,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288350,-11,-31,1042,630,-3710,1540,1536,1,-463,998.78,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288370,-15,-31,1042,560,-3430,1330,1527,-6,-462,998.78,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288390,-14,-32,1043,630,-3710,1190,1528,4,-457,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288410,-14,-35,1043,630,-3500,1050,1528,-3,-468,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288430,-8,-36,1042,630,-3430,140,1531,0,-453,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288450,-10,-39,1046,560,-2940,-2030,1534,0,-462,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288470,-19,-27,1042,630,-4130,-1260,1528,1,-462,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288480,-16,-35,1044,630,-3710,280,1525,-7,-456,998.70,20.8,72.5,,,,,,,,        ,        ,        ,663,
45288500,-18,-31,1044,560,-3360,420,1533,-3,-463,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288520,3,-64,1043,630,-4620,-1050,1531,-15,-462,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288540,-8,-53,1060,980,-7210,-8330,1533,-7,-466,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288560,-4,-22,1038,840,-4900,-7700,1536,-16,-457,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288580,-10,-28,1042,1540,-8330,-10990,1536,-19,-471,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288600,-42,-12,1037,1330,-7490,-3850,1537,-24,-475,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288620,-10,-41,1031,420,-2940,-4410,1528,-24,-477,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288640,-18,-23,1048,770,-4200,-3570,1531,-28,-471,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288660,47,-67,1048,980,-5320,-12740,1534,-40,-472,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288670,-11,-33,1047,1050,-7070,-14280,1530,-37,-468,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288690,-8,-38,1048,1120,-7980,-15260,1536,-49,-475,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288710,3,-47,1034,910,-4480,-16660,1531,-52,-474,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288730,-13,0,1028,0,-2450,-10430,1546,-69,-480,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288750,-48,-1,1049,490,-3080,-280,1542,-78,-472,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288770,-8,-19,1040,420,-2450,1680,1549,-69,-468,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288790,-10,-35,1049,560,-3500,1400,1545,-69,-480,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288810,5,-41,1040,420,-2940,-1470,1533,-84,-475,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288820,10,-46,1045,910,-4970,-4200,1549,-70,-474,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288840,3,-29,1040,630,-3360,-350,1552,-76,-469,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288860,-8,-26,1038,490,-2450,-910,1543,-84,-478,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288880,-2,-38,1043,420,-2240,-840,1545,-75,-472,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288900,-16,-54,1030,140,-2030,-3920,1551,-76,-474,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288920,-43,-61,1051,-770,4690,-14980,1542,-90,-463,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288940,20,17,1047,350,-2240,-9520,1540,-94,-471,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288960,-27,-10,1069,1540,-9310,3290,1540,-93,-465,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45288980,-17,-48,1060,1050,-6370,3010,1543,-91,-469,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289000,18,-18,985,980,-5250,2730,1537,-91,-480,998.63,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289010,-4,-26,1059,770,-3780,3360,1546,-91,-483,998.63,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289030,-4,-48,1045,560,-3500,1050,1549,-87,-474,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289050,-4,-27,1044,630,-3570,1540,1543,-88,-478,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289070,-7,-31,1045,560,-3500,1470,1546,-96,-477,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289090,-5,-33,1043,700,-3500,1470,1539,-100,-483,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289110,-4,-31,1042,630,-3500,1540,1533,-88,-474,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289130,-7,-32,1044,630,-3500,1540,1540,-84,-480,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289140,-4,-30,1042,560,-3500,1540,1543,-100,-474,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289160,-5,-32,1044,560,-3570,1540,1545,-88,-480,998.69,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289180,-6,-32,1042,630,-3570,1540,1542,-82,-481,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289200,-5,-31,1042,630,-3570,1540,1534,-93,-465,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289220,-5,-32,1043,630,-3500,1470,1549,-88,-475,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289240,-5,-31,1042,630,-3570,1540,1543,-97,-478,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289260,-5,-32,1043,630,-3500,1470,1548,-85,-474,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289280,-5,-31,1043,630,-3500,1470,1542,-93,-480,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289300,-6,-32,1043,560,-3500,1540,1543,-99,-478,998.64,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289320,-5,-31,1042,700,-3500,1470,1549,-91,-471,998.64,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289330,-5,-32,1043,630,-3500,1540,1537,-79,-477,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289350,-5,-32,1042,630,-3500,1540,1542,-85,-474,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289370,-5,-32,1042,630,-3570,1470,1543,-97,-475,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289390,-5,-32,1043,630,-3500,1540,1539,-96,-478,998.65,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289410,-5,-31,1042,630,-3570,1540,1539,-94,-477,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289430,-5,-32,1042,630,-3500,1610,1536,-88,-489,998.71,20.8,72.5,,,,,,,,        ,        ,        ,673,
45289450,-4,-31,1043,630,-3570,1540,1545,-97,-474,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289460,-5,-31,1042,560,-3570,1540,1543,-94,-483,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289480,-5,-31,1042,560,-3570,1540,1546,-93,-475,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289500,-5,-31,1042,560,-3570,1610,1545,-87,-478,998.68,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289520,-5,-32,1042,700,-3570,1540,1546,-91,-478,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289540,-5,-31,1043,630,-3500,1540,1540,-82,-480,998.73,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289560,-5,-31,1043,560,-3500,1540,1548,-87,-478,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289580,-5,-32,1042,560,-3570,1540,1551,-93,-477,998.71,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289600,-5,-31,1042,630,-3570,1610,1534,-90,-483,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289620,-5,-32,1043,630,-3570,1540,1543,-93,-480,998.70,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289640,-5,-31,1042,560,-3570,1470,1552,-94,-484,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289660,-5,-31,1041,630,-3500,1540,1545,-96,-492,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289670,-6,-32,1042,630,-3570,1610,1539,-87,-480,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289690,-6,-31,1042,630,-3500,1540,1537,-94,-481,998.67,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289710,-5,-32,1042,560,-3500,1540,1542,-91,-475,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289730,-5,-31,1042,630,-3500,1470,1548,-96,-481,998.66,20.8,72.5,,,,,,,,        ,        ,        ,1,
45289750,-5,-31,1043,630,-3570,1610,1540,-93,-480,998.62,20.8,72.5,,,,,,,,        ,        ,        ,1,
