#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
10,103888,27.738,-0.175,-1.12,-0.805,0.012,-0.014,1.026,-23.7,-8.1,30.7,
10000,103898,27.738,-0.35,-1.12,-0.822,0.012,-0.014,1.027,-23.4,-7.6,31,
20002,103908,27.738,-0.297,-1.172,-0.787,0.012,-0.014,1.026,-24.3,-8.7,30.3,
30000,103918,27.738,-0.122,-1.102,-0.822,0.01,-0.013,1.026,-23.7,-8.5,29.5,
40004,103928,27.738,-0.192,-1.155,-0.857,0.01,-0.012,1.026,-24.9,-7.6,31,
50001,103938,27.738,-0.297,-1.155,-0.805,0.01,-0.013,1.026,-23.8,-7.9,30.7,
60002,103948,27.738,-0.297,-1.155,-0.805,0.01,-0.013,1.026,-24,-6.7,31,
70000,103958,27.7572,-0.28,-1.155,-0.822,0.01,-0.013,1.025,-24.4,-8.1,31,
80004,103968,27.7572,-0.21,-1.172,-0.805,0.01,-0.011,1.026,-23.8,-8.1,31.3,
90001,103978,27.7572,-0.21,-1.19,-0.805,0.011,-0.012,1.026,-23.2,-8.2,31.2,
100002,103988,27.7572,-0.28,-1.207,-0.84,0.012,-0.012,1.027,-24.6,-7.3,30.9,
110000,103998,27.7572,-0.262,-1.137,-0.857,0.012,-0.012,1.026,-24.4,-7.6,31.2,
120003,104008,27.7572,-0.175,-1.12,-0.822,0.012,-0.014,1.026,-24,-7.3,30.9,
130000,104018,27.7572,-0.192,-1.137,-0.822,0.011,-0.014,1.027,-22.8,-7.9,31.2,
140002,104028,27.7572,-0.28,-1.155,-0.822,0.012,-0.014,1.027,-23.8,-7.9,29.5,
150001,104038,27.738,-0.245,-1.19,-0.787,0.01,-0.013,1.026,-23.8,-8.5,30.9,
160003,104048,27.738,-0.227,-1.155,-0.787,0.009,-0.012,1.026,-24.6,-7.9,29.8,
170000,104058,27.738,-0.192,-1.12,-0.805,0.009,-0.011,1.026,-24.1,-7.8,30.7,
180002,104068,27.738,-0.28,-1.12,-0.77,0.01,-0.009,1.026,-23.7,-7.3,30,
190001,104078,27.738,-0.297,-1.155,-0.857,0.012,-0.01,1.025,-24.1,-8.2,31.2,
200004,104088,27.738,-0.175,-1.12,-0.84,0.011,-0.01,1.025,-23.7,-8.2,30.6,
210001,104098,27.738,-0.157,-1.085,-0.857,0.011,-0.011,1.026,-24,-8.1,30.7,
220002,104108,27.738,-0.21,-1.155,-0.875,0.011,-0.013,1.026,-24.4,-7.6,30.9,
230000,104118,27.738,-0.28,-1.155,-0.822,0.011,-0.015,1.026,-23.7,-8.2,30.6,
240004,104128,27.7572,-0.28,-1.172,-0.84,0.011,-0.014,1.026,-24.6,-7.9,30.1,
250002,104138,27.7572,-0.227,-1.155,-0.857,0.011,-0.014,1.027,-24.4,-7,29.7,
260002,104148,27.7572,-0.245,-1.172,-0.77,0.011,-0.013,1.026,-23.7,-7.8,30.4,
270000,104158,27.7572,-0.28,-1.19,-0.77,0.01,-0.013,1.026,-23.1,-8.2,30.7,
280003,104168,27.7572,-0.21,-1.137,-0.77,0.011,-0.011,1.026,-24.3,-7.2,29.8,
290001,104178,27.7572,-0.245,-1.155,-0.822,0.01,-0.012,1.026,-24.3,-7.3,31.5,
300002,104188,27.7572,-0.175,-1.172,-0.857,0.01,-0.011,1.026,-23.5,-8.1,30.9,
310000,104198,27.7572,-0.227,-1.19,-0.857,0.012,-0.011,1.026,-23.5,-7.6,30.9,
320004,104208,27.7572,-0.21,-1.172,-0.857,0.01,-0.013,1.027,-25.3,-8.5,31.6,
330001,104218,27.7572,-0.227,-1.172,-0.84,0.012,-0.013,1.026,-24.3,-8.4,30.7,
340002,104228,27.7572,-0.28,-1.155,-0.822,0.011,-0.014,1.026,-24.3,-7.6,31.6,
350001,104238,27.7572,-0.28,-1.137,-0.822,0.01,-0.012,1.026,-23.1,-7.9,31,
360004,104248,27.7572,-0.262,-1.155,-0.752,0.012,-0.011,1.026,-25.2,-7.5,31,
370000,104258,27.7572,-0.175,-1.207,-0.77,0.012,-0.011,1.026,-23.7,-8.4,30.3,
380002,104268,27.7572,-0.227,-1.19,-0.84,0.011,-0.01,1.027,-23.7,-8.2,29.8,
390000,104278,27.7572,-0.245,-1.102,-0.805,0.012,-0.01,1.026,-24,-7.8,31,
400004,104288,27.7572,-0.28,-1.102,-0.822,0.01,-0.011,1.026,-23.7,-8.2,31.5,
410000,104298,27.7572,-0.227,-1.137,-0.857,0.011,-0.011,1.025,-22.6,-6.3,30.4,
